T,SA
1.000000000000000021e-02,7.879669561825887181e-01
5.000000000000000278e-02,1.009726021530117368e+00
1.499999999999999944e-01,1.807859772967557399e+00
2.999999999999999889e-01,1.748088777202177813e+00
5.000000000000000000e-01,1.289063763106077065e+00
7.500000000000000000e-01,9.710097939922536225e-01
1.000000000000000000e+00,7.467952987256820663e-01
1.500000000000000000e+00,5.478704715658901936e-01
2.000000000000000000e+00,4.105458071517110175e-01
2.500000000000000000e+00,2.968768153600147564e-01
