Sa,Probability
1.000000000000000021e-03,4.756125566950953143e-19
6.838374824870657384e-03,1.937208149648154593e-09
1.267674964974131388e-02,3.866289337891715534e-07
1.851512447461197211e-02,6.488588962487397577e-06
2.435349929948263034e-02,4.078352829866375962e-05
3.019187412435328857e-02,1.531762629751311580e-04
3.603024894922394333e-02,4.211736444381101356e-04
4.186862377409460156e-02,9.419209763003982263e-04
4.770699859896525979e-02,1.821243506939477976e-03
5.354537342383591803e-02,3.163399894278356127e-03
5.938374824870657626e-02,5.063240431673250198e-03
6.522212307357723449e-02,7.601117316702116905e-03
7.106049789844788578e-02,1.084022868285720344e-02
7.689887272331855095e-02,1.482584503911775833e-02
8.273724754818920224e-02,1.958585630772647496e-02
8.857562237305986741e-02,2.513216063668003916e-02
9.441399719793051870e-02,3.146252457810300857e-02
1.002523720228011700e-01,3.856264684184686903e-02
1.060907468476718352e-01,4.640824306464472193e-02
1.119291216725424865e-01,5.496703478269032023e-02
1.177674964974131516e-01,6.420057399989163860e-02
1.236058713222838029e-01,7.406586865507143458e-02
1.294442461471544681e-01,8.451679721892274566e-02
1.352826209720251194e-01,9.550531547061319460e-02
1.411209957968957707e-01,1.069824675220424348e-01
1.469593706217664220e-01,1.188992181405288950e-01
1.527977454466371010e-01,1.312071256758109983e-01
1.586361202715077523e-01,1.438588753692139344e-01
1.644744950963784036e-01,1.568086921795646127e-01
1.703128699212490549e-01,1.700126509646617823e-01
1.761512447461197339e-01,1.834289002226247023e-01
1.819896195709903852e-01,1.970178138315898941e-01
1.878279943958610365e-01,2.107420834615540417e-01
1.936663692207316878e-01,2.245667626493720315e-01
1.995047440456023391e-01,2.384592719724424881e-01
2.053431188704730181e-01,2.523893733502910464e-01
2.111814936953436694e-01,2.663291202526475443e-01
2.170198685202143207e-01,2.802527894946270637e-01
2.228582433450849720e-01,2.941367993454807594e-01
2.286966181699556511e-01,3.079596178552519437e-01
2.345349929948263024e-01,3.217016646003559854e-01
2.403733678196969537e-01,3.353452084512108522e-01
2.462117426445676049e-01,3.488742634596352921e-01
2.520501174694382840e-01,3.622744845387355084e-01
2.578884922943089353e-01,3.755330642524127294e-01
2.637268671191795866e-01,3.886386317355665643e-01
2.695652419440502379e-01,4.015811545208147759e-01
2.754036167689208892e-01,4.143518438454489861e-01
2.812419915937915404e-01,4.269430638467348604e-01
2.870803664186621917e-01,4.393482449188124139e-01
2.929187412435328430e-01,4.515618013954146859e-01
2.987571160684035498e-01,4.635790536351839797e-01
3.045954908932742011e-01,4.753961545169356206e-01
3.104338657181448524e-01,4.870100202977450388e-01
3.162722405430155037e-01,4.984182657446351583e-01
3.221106153678861550e-01,5.096191434187493652e-01
3.279489901927568063e-01,5.206114869673691414e-01
3.337873650176274576e-01,5.313946582624425874e-01
3.396257398424981089e-01,5.419684982131505180e-01
3.454641146673687602e-01,5.523332810733607712e-01
3.513024894922394670e-01,5.624896720617358348e-01
3.571408643171101183e-01,5.724386881120008264e-01
3.629792391419807696e-01,5.821816615728476751e-01
3.688176139668514208e-01,5.917202066806337424e-01
3.746559887917220721e-01,6.010561886330098025e-01
3.804943636165927234e-01,6.101916950975513343e-01
3.863327384414633747e-01,6.191290099960744531e-01
3.921711132663340260e-01,6.278705894123832731e-01
3.980094880912046773e-01,6.364190394785289584e-01
4.038478629160753841e-01,6.447770961021155323e-01
4.096862377409460354e-01,6.529476064046557671e-01
4.155246125658166867e-01,6.609335117483656763e-01
4.213629873906873380e-01,6.687378322360164606e-01
4.272013622155579893e-01,6.763636525755034601e-01
4.330397370404286406e-01,6.838141092075702421e-01
4.388781118652992919e-01,6.910923786016581749e-01
4.447164866901699432e-01,6.982016666310766340e-01
