Sa,Probability
1.000000000000000021e-03,9.705321062813056697e-35
5.308960817958318854e-03,8.199997711773963381e-19
9.617921635916636819e-03,2.201249613555220751e-14
1.392688245387495652e-02,5.944548803415170925e-12
1.823584327183327622e-02,2.437689165366980424e-10
2.254480408979159592e-02,3.655822048526640088e-09
2.685376490774991215e-02,2.959251106633219101e-08
3.116272572570823185e-02,1.586006739687290397e-07
3.547168654366655155e-02,6.343123008536171978e-07
3.978064736162487125e-02,2.041763838740801026e-06
4.408960817958319095e-02,5.563810696282341320e-06
4.839856899754151065e-02,1.329700675283406556e-05
5.270752981549982341e-02,2.859324211181414358e-05
5.701649063345814311e-02,5.638724296207384780e-05
6.132545145141646281e-02,1.034724045483229293e-04
6.563441226937478945e-02,1.786957913698366954e-04
6.994337308733310221e-02,2.930543955515046940e-04
7.425233390529141497e-02,4.596862697042302520e-04
7.856129472324974161e-02,6.937601845785410079e-04
8.287025554120805437e-02,1.012275100155545730e-03
8.717921635916638101e-02,1.433785742200630953e-03
9.148817717712469377e-02,1.978073138642689240e-03
9.579713799508302041e-02,2.665779516210812442e-03
1.001060988130413332e-01,3.518025994517909576e-03
1.044150596309996459e-01,4.556029536184438497e-03
1.087240204489579726e-01,5.800733046545857204e-03
1.130329812669162853e-01,7.272459707283589550e-03
1.173419420848746120e-01,8.990599828437849730e-03
1.216509029028329247e-01,1.097333588593549757e-02
1.259598637207912375e-01,1.323740908346379003e-02
1.302688245387495780e-01,1.579792879261512906e-02
1.345777853567078908e-01,1.866822459976942919e-02
1.388867461746662035e-01,2.185973941172787011e-02
1.431957069926245163e-01,2.538196111729640325e-02
1.475046678105828291e-01,2.924238963190713830e-02
1.518136286285411696e-01,3.344653572583109608e-02
1.561225894464994823e-01,3.799794781203693489e-02
1.604315502644577951e-01,4.289826280777368772e-02
1.647405110824161079e-01,4.814727724852148338e-02
1.690494719003744484e-01,5.374303499237157583e-02
1.733584327183327611e-01,5.968192808001426819e-02
1.776673935362910739e-01,6.595880758766896335e-02
1.819763543542493867e-01,7.256710160898008355e-02
1.862853151722076994e-01,7.949893781241829105e-02
1.905942759901660399e-01,8.674526833164419859e-02
1.949032368081243527e-01,9.429599504903835028e-02
1.992121976260826655e-01,1.021400936209602150e-01
2.035211584440409782e-01,1.102657348630287082e-01
2.078301192619992910e-01,1.186604023621312676e-01
2.121390800799576315e-01,1.273110054075388131e-01
2.164480408979159443e-01,1.362039865359803148e-01
2.207570017158742570e-01,1.453254231650519812e-01
2.250659625338325698e-01,1.546611229467351190e-01
2.293749233517909103e-01,1.641967126092128137e-01
2.336838841697492231e-01,1.739177201720477628e-01
2.379928449877075358e-01,1.838096505186695984e-01
2.423018058056658486e-01,1.938580543926347044e-01
2.466107666236241613e-01,2.040485909519284546e-01
2.509197274415824741e-01,2.143670840702457392e-01
2.552286882595408146e-01,2.247995726172731246e-01
2.595376490774991551e-01,2.353323549829237082e-01
2.638466098954574401e-01,2.459520281346051496e-01
2.681555707134157807e-01,2.566455215131546730e-01
2.724645315313740657e-01,2.674001260831657678e-01
2.767734923493324062e-01,2.782035188580996854e-01
2.810824531672907467e-01,2.890437832206836921e-01
2.853914139852490317e-01,2.999094253554828171e-01
2.897003748032073722e-01,3.107893871038858169e-01
2.940093356211656572e-01,3.216730555426734472e-01
2.983182964391239977e-01,3.325502695764128158e-01
3.026272572570823383e-01,3.434113238215511510e-01
3.069362180750406233e-01,3.542469700467261173e-01
3.112451788929989638e-01,3.650484164197447257e-01
3.155541397109572488e-01,3.758073247972337771e-01
3.198631005289155893e-01,3.865158062783557447e-01
3.241720613468739298e-01,3.971664152293887806e-01
3.284810221648322148e-01,4.077521419715923745e-01
3.327899829827905553e-01,4.182664043106989471e-01
3.370989438007488959e-01,4.287030380727224754e-01
3.414079046187071809e-01,4.390562867976234851e-01
3.457168654366655214e-01,4.493207907297638859e-01
3.500258262546238064e-01,4.594915752320841151e-01
3.543347870725821469e-01,4.695640387395506044e-01
3.586437478905404874e-01,4.795339403566712955e-01
3.629527087084987724e-01,4.893973871937765674e-01
3.672616695264571129e-01,4.991508215272877358e-01
3.715706303444153979e-01,5.087910078603594677e-01
3.758795911623737385e-01,5.183150199520538681e-01
3.801885519803320790e-01,5.277202278755704912e-01
3.844975127982903640e-01,5.370042851589974520e-01
3.888064736162487045e-01,5.461651160555358597e-01
3.931154344342069895e-01,5.552009029841606935e-01
3.974243952521653300e-01,5.641100741761856385e-01
4.017333560701236705e-01,5.728912915581775289e-01
4.060423168880819556e-01,5.815434388970769364e-01
4.103512777060402961e-01,5.900656102292149985e-01
4.146602385239985811e-01,5.984570985911317198e-01
4.189691993419569216e-01,6.067173850666798263e-01
4.232781601599152621e-01,6.148461281618136098e-01
4.275871209778735471e-01,6.228431535156856436e-01
4.318960817958318876e-01,6.307084439541960075e-01
4.362050426137902281e-01,6.384421298899128905e-01
4.405140034317485132e-01,6.460444800703182278e-01
4.448229642497068537e-01,6.535158926745819885e-01
4.491319250676651387e-01,6.608568867575309591e-01
4.534408858856234792e-01,6.680680940381302779e-01
4.577498467035818197e-01,6.751502510286173653e-01
4.620588075215401047e-01,6.821041914994134814e-01
4.663677683394984452e-01,6.889308392740616238e-01
4.706767291574567302e-01,6.956312013476965150e-01
4.749856899754150708e-01,7.022063613219281519e-01
4.792946507933734113e-01,7.086574731484986955e-01
4.836036116113316963e-01,7.149857551736509276e-01
4.879125724292900368e-01,7.211924844748104357e-01
4.922215332472483218e-01,7.272789914809218992e-01
4.965304940652066623e-01,7.332466548675907747e-01
5.008394548831649473e-01,7.390968967180534532e-01
5.051484157011233433e-01,7.448311779409206856e-01
5.094573765190816284e-01,7.504509939356187598e-01
5.137663373370399134e-01,7.559578704964627915e-01
5.180752981549983094e-01,7.613533599463535584e-01
5.223842589729565944e-01,7.666390374911730143e-01
5.266932197909148794e-01,7.718164977860713094e-01
5.310021806088731644e-01,7.768873517049668109e-01
5.353111414268315604e-01,7.818532233047497115e-01
5.396201022447898454e-01,7.867157469758481181e-01
5.439290630627481304e-01,7.914765647710082508e-01
5.482380238807065265e-01,7.961373239043394445e-01
5.525469846986648115e-01,8.006996744128912491e-01
5.568559455166230965e-01,8.051652669732427547e-01
5.611649063345814925e-01,8.095357508658109769e-01
5.654738671525397775e-01,8.138127720798135067e-01
5.697828279704980625e-01,8.179979715520522277e-01
5.740917887884564585e-01,8.220929835329110480e-01
