PGA(g),Lambda
4.999999999999999237e-03,3.139793925308894984e+01
5.676112895847755004e-03,3.138043603163245265e+01
6.443651521281830961e-03,3.134691396791695084e+01
7.314978699259361977e-03,3.128569541480948502e+01
8.304128985543533098e-03,3.117906548240446440e+01
9.427034724725356918e-03,3.100187647293661897e+01
1.070178267412362841e-02,3.072088728920709144e+01
1.214890532903064278e-02,3.029549505868594395e+01
1.379171164170886303e-02,2.968044574127265633e+01
1.565666246106344958e-02,2.883077836997826893e+01
1.777379674023553402e-02,2.770867289475836515e+01
2.017721537708553128e-02,2.629116677186723550e+01
2.290563048083455247e-02,2.457712066040004117e+01
2.600298891195767376e-02,2.259161531019335101e+01
2.951918013874983010e-02,2.038632045633116974e+01
3.351083981208213824e-02,1.803526305339829605e+01
3.804226200160956001e-02,1.562658513856901976e+01
4.318643478691096965e-02,1.325193301636434384e+01
4.902621588393469426e-02,1.099569508153836672e+01
5.565566724268353194e-02,8.926221453505224446e+00
6.318157011264145806e-02,7.090483556463569315e+00
7.172514497925464028e-02,5.512642465748726295e+00
8.142400407465938406e-02,4.196043092503853877e+00
9.243436791194681312e-02,3.127516810518386148e+00
1.049335815449074089e-01,2.282673610547526710e+00
1.191229710829081329e-01,1.631042160875389557e+00
1.352310864710787597e-01,1.140311686538021396e+00
1.535173827675986313e-01,7.793637522659935257e-01
1.742763992127924211e-01,5.201241797837087288e-01
1.978425034027284368e-01,3.384607947207182166e-01
2.245952769822059658e-01,2.144124284007650760e-01
2.549656296050394344e-01,1.320051649955647499e-01
2.894427396398212005e-01,7.884495764856710998e-02
3.285819334158185390e-01,4.560901705793254934e-02
3.730136299208230422e-01,2.550948822263917476e-02
4.234534950241129470e-01,1.377366874262218356e-02
4.807139687796339045e-01,7.169141293713764650e-03
5.457173514808468795e-01,3.592367766397569495e-03
6.195106592456633976e-01,1.730897120082473383e-03
7.032824884118902276e-01,8.010719318674143843e-04
7.983821603797259803e-01,3.557653745015109856e-04
9.063414552692298232e-01,1.514868914022304781e-04
1.028899284459019459e+00,6.179793334682271257e-05
1.168029699409273592e+00,2.413600960787589691e-05
1.325973687910029675e+00,9.019604232985065548e-06
1.505275269900185453e+00,3.223345825029285123e-06
1.708822474256229018e+00,1.101073459938655971e-06
1.939893856568050134e+00,3.593608971590982328e-07
2.202211307168346899e+00,1.120174089497631288e-07
2.500000000000000000e+00,3.333749386815955467e-08
