Sa,Loss
4.999999999999999237e-03,2.655033753984808740e-11
5.676112895847755004e-03,3.103809393819076581e-11
6.443651521281830961e-03,3.613269633140195184e-11
7.314978699259361977e-03,6.687276964559238997e-10
8.304128985543533098e-03,1.976186523535629863e-09
9.427034724725356918e-03,3.460443305371059403e-09
1.070178267412362841e-02,5.145405117396160847e-09
1.214890532903064278e-02,7.058211811445512770e-09
1.379171164170886303e-02,3.136122444778462003e-08
1.565666246106344958e-02,7.084484708134308620e-08
1.777379674023553402e-02,1.156675470023686731e-07
2.017721537708553128e-02,3.333065305721422980e-07
2.290563048083455247e-02,6.648089521973812740e-07
2.600298891195767376e-02,1.520504362297795222e-06
2.951918013874983010e-02,2.969579390657747239e-06
3.351083981208213824e-02,6.669662501690305689e-06
3.804226200160956001e-02,1.355574309752761982e-05
4.318643478691096965e-02,2.681554766871573338e-05
4.902621588393469426e-02,5.282394793142949690e-05
5.565566724268353194e-02,1.030957139727554169e-04
6.318157011264145806e-02,1.970723337345644112e-04
7.172514497925464028e-02,3.716676783199583125e-04
8.142400407465938406e-02,7.072465245050190861e-04
9.243436791194681312e-02,1.342936911513610554e-03
1.049335815449074089e-01,2.539669757809238145e-03
1.191229710829081329e-01,4.807676743817969334e-03
1.352310864710787597e-01,8.985411477105988837e-03
1.535173827675986313e-01,1.657359811691930945e-02
1.742763992127924211e-01,2.969805489015062833e-02
1.978425034027284368e-01,5.123269915672012953e-02
2.245952769822059658e-01,8.461954951804691316e-02
2.549656296050394344e-01,1.331610632317981047e-01
2.894427396398212005e-01,1.990634486201817432e-01
3.285819334158185390e-01,2.824193360016812315e-01
3.730136299208230422e-01,3.804507405152278698e-01
4.234534950241129470e-01,4.874680030872040604e-01
4.807139687796339045e-01,5.958492650503097732e-01
5.457173514808468795e-01,6.975745628940687171e-01
6.195106592456633976e-01,7.860770232027193272e-01
7.032824884118902276e-01,8.574996742938251204e-01
7.983821603797259803e-01,9.108130202914913598e-01
9.063414552692298232e-01,9.476553252739825517e-01
1.028899284459019459e+00,9.712308025539806433e-01
1.168029699409273592e+00,9.852100647660371191e-01
1.325973687910029675e+00,9.929358495627691461e-01
1.505275269900185453e+00,9.968775070255172510e-01
1.708822474256229018e+00,9.987163840663588754e-01
1.939893856568050134e+00,9.989073146105398315e-01
2.202211307168346899e+00,9.989073146105398315e-01
2.500000000000000000e+00,9.989073146105398315e-01
