Sa,Loss
4.999999999999999237e-03,5.522011603152896703e-14
5.676112895847755004e-03,5.394680529835449960e-12
6.443651521281830961e-03,1.654801088656456010e-11
7.314978699259361977e-03,2.920952334046074601e-11
8.304128985543533098e-03,4.358315816456003516e-11
9.427034724725356918e-03,5.990043296161542601e-11
1.070178267412362841e-02,7.585059957382864538e-10
1.214890532903064278e-02,1.687549316914735118e-09
1.379171164170886303e-02,2.742220272140902896e-09
1.565666246106344958e-02,1.585892498986863479e-08
1.777379674023553402e-02,3.180667715524517247e-08
2.017721537708553128e-02,1.195846942391475734e-07
2.290563048083455247e-02,2.812405794935126079e-07
2.600298891195767376e-02,7.864242193689456103e-07
2.951918013874983010e-02,2.161305755222962976e-06
3.351083981208213824e-02,5.480791655004428301e-06
3.804226200160956001e-02,1.334746317775119143e-05
4.318643478691096965e-02,3.125894917536993912e-05
4.902621588393469426e-02,7.242859423044138820e-05
5.565566724268353194e-02,1.650071234363089724e-04
6.318157011264145806e-02,3.639689843750002363e-04
7.172514497925464028e-02,7.798215132223735484e-04
8.142400407465938406e-02,1.625661908658974052e-03
9.243436791194681312e-02,3.291414739603515903e-03
1.049335815449074089e-01,6.450616177523743264e-03
1.191229710829081329e-01,1.222148758216355657e-02
1.352310864710787597e-01,2.217551072453022298e-02
1.535173827675986313e-01,3.858672818347999578e-02
1.742763992127924211e-01,6.407692557350573581e-02
1.978425034027284368e-01,1.015072826442239839e-01
2.245952769822059658e-01,1.531974850161232915e-01
2.549656296050394344e-01,2.203394455566763110e-01
2.894427396398212005e-01,3.021995384565934750e-01
3.285819334158185390e-01,3.958139724166070961e-01
3.730136299208230422e-01,4.961610082625044771e-01
4.234534950241129470e-01,5.969806874621098602e-01
4.807139687796339045e-01,6.918301394515303793e-01
5.457173514808468795e-01,7.754298265460611850e-01
6.195106592456633976e-01,8.444275443608356690e-01
7.032824884118902276e-01,8.977610316880085817e-01
7.983821603797259803e-01,9.363589510785467196e-01
9.063414552692298232e-01,9.628040094674157334e-01
1.028899284459019459e+00,9.795095395401127725e-01
1.168029699409273592e+00,9.893657865691574127e-01
1.325973687910029675e+00,9.938831676558028683e-01
1.505275269900185453e+00,9.938831676558028683e-01
1.708822474256229018e+00,9.938831676558028683e-01
1.939893856568050134e+00,9.938831676558028683e-01
2.202211307168346899e+00,9.938831676558028683e-01
2.500000000000000000e+00,9.938831676558028683e-01
